Ort_Name;ID_Bundesland;Bevoelkerungsstand_insgesamt;Bevoelkerungsstand_maennlich;Bevoelkerungsstand_weiblich;Kreise_und_Stadt
Flensburg;1;92550;45874;46676;kreisfreie Stadt
Kiel;1;247717;120149;127568;kreisfreie Stadt
Lübeck;1;218095;104723;113372;kreisfreie Stadt
Neumünster;1;79502;39256;40246;kreisfreie Stadt
Dithmarschen;1;135252;66561;68691;Kreis
Herzogtum Lauenburg;1;203712;99689;104023;Kreis
Nordfriesland;1;169043;82669;86374;Kreis
Ostholstein;1;203606;97822;105784;Kreis
Pinneberg;1;322130;157663;164467;Kreis
Plön;1;131266;63357;67909;Kreis
Rendsburg-Eckernförde;1;278979;137154;141825;Kreis
Schleswig-Flensburg;1;206038;101614;104424;Kreis
Segeberg;1;284988;140654;144334;Kreis
Steinburg;1;132419;65268;67151;Kreis
Stormarn;1;247973;120816;127157;Kreis
Hamburg;2;1892122;925616;966506;kreisfreie Stadt
Braunschweig;3;251804;124770;127034;kreisfreie Stadt
Salzgitter;3;104548;51829;52719;kreisfreie Stadt
Wolfsburg;3;125961;62441;63520;kreisfreie Stadt
Gifhorn;3;180232;89675;90557;Landkreis
Goslar;3;134672;66690;67982;Landkreis
Helmstedt;3;92470;45648;46822;Landkreis
Northeim;3;133258;65576;67682;Landkreis
Peine;3;138931;68750;70181;Landkreis
Wolfenbüttel;3;120531;59652;60879;Landkreis
Göttingen;3;328458;161027;167431;Landkreis
Region Hannover;3;1173891;573513;600378;Landkreis
Hannover;3;545045;266093;278952;Landeshauptstadt
Diepholz;3;222816;110415;112401;Landkreis
Hameln-Pyrmont;3;150640;72781;77859;Landkreis
Hildesheim;3;278371;135757;142614;Landkreis
Holzminden;3;70911;35112;35799;Landkreis
Nienburg (Weser);3;123469;61060;62409;Landkreis
Schaumburg;3;159960;78375;81585;Landkreis
Celle;3;181994;89138;92856;Landkreis
Cuxhaven;3;201413;98150;103263;Landkreis
Harburg;3;261890;128854;133036;Landkreis
Lüchow-Dannenberg;3;49178;23981;25197;Landkreis
Lüneburg;3;187552;91180;96372;Landkreis
Osterholz;3;116551;56813;59738;Landkreis
Rotenburg;3;167604;83960;83644;Landkreis
Heidekreis;3;145394;72697;72697;Landkreis
Stade;3;210306;104302;106004;Landkreis
Uelzen;3;94362;45906;48456;Landkreis
Verden;3;140913;69141;71772;Landkreis
Delmenhorst;3;78385;38557;39828;kreisfreie Stadt
Emden;3;50535;25071;25464;kreisfreie Stadt
Wilhelmshaven;3;76089;37268;38821;kreisfreie Stadt
Ammerland;3;128253;62498;65755;Landkreis
Aurich;3;192072;94234;97838;Landkreis
Cloppenburg;3;177701;89720;87981;Landkreis
Emsland;3;338052;171160;166892;Landkreis
Friesland;3;100277;48749;51528;Landkreis
Grafschaft Bentheim;3;141269;70508;70761;Landkreis
Leer;3;174348;86640;87708;Landkreis
Oldenburg;3;133913;66240;67673;Landkreis
Osnabrück;3;366221;181603;184618;Landkreis
Vechta;3;146924;73728;73196;Landkreis
Wesermarsch;3;89568;44652;44916;Landkreis
Wittmund;3;58359;28504;29855;Landkreis
Bremen;4;569396;280842;288554;kreisfreie Stadt
Bremerhaven;4;115468;57391;58077;kreisfreie Stadt
Düsseldorf;5;629047;303510;325537;kreisfreie Stadt
Duisburg;5;502211;247892;254319;kreisfreie Stadt
Essen;5;584580;284152;300428;kreisfreie Stadt
Krefeld;5;228426;111189;117237;kreisfreie Stadt
Mönchengladbach;5;268465;132961;135504;kreisfreie Stadt
Mülheim an der Ruhr;5;172404;83069;89335;kreisfreie Stadt
Oberhausen;5;210824;102910;107914;kreisfreie Stadt
Remscheid;5;112613;55709;56904;kreisfreie Stadt
Solingen;5;160643;78038;82605;kreisfreie Stadt
Wuppertal;5;358876;175788;183088;kreisfreie Stadt
Kleve;5;319290;158966;160324;Kreis
Mettmann;5;489794;236563;253231;Kreis
Rhein-Kreis Neuss;5;457264;221712;235552;Kreis
Viersen;5;300882;146635;154247;Kreis
Wesel;5;465838;226869;238969;Kreis
Bonn;5;336465;160769;175696;kreisfreie Stadt
Köln;5;1084831;526588;558243;kreisfreie Stadt
Leverkusen;5;165748;80681;85067;kreisfreie Stadt
Aachen;5;252136;131493;120643;kreisfreie Stadt
Düren;5;270833;134058;136775;Kreis
Rhein-Erft-Kreis;5;478126;232974;245152;Kreis
Euskirchen;5;197247;97449;99798;Kreis
Heinsberg;5;261833;129489;132344;Kreis
Oberbergischer Kreis;5;275404;135188;140216;Kreis
Rheinisch-Bergischer Kreis;5;286213;138313;147900;Kreis
Rhein-Sieg-Kreis;5;608335;297515;310820;Kreis
Bottrop;5;118113;57364;60749;kreisfreie Stadt
Gelsenkirchen;5;263000;130545;132455;kreisfreie Stadt
Münster;5;320946;153935;167011;kreisfreie Stadt
Borken;5;379070;189377;189693;Kreis
Coesfeld;5;224692;110765;113927;Kreis
Recklinghausen;5;619732;301126;318606;Kreis
Steinfurt;5;456464;227186;229278;Kreis
Warendorf;5;282263;139373;142890;Kreis
Bielefeld;5;338332;163149;175183;kreisfreie Stadt
Gütersloh;5;371309;184955;186354;Kreis
Herford;5;253551;124664;128887;Kreis
Höxter;5;141819;70597;71222;Kreis
Lippe;5;350588;171767;178821;Kreis
Minden-Lübbecke;5;315974;156058;159916;Kreis
Paderborn;5;313758;156955;156803;Kreis
Bochum;5;365742;178377;187365;kreisfreie Stadt
Dortmund;5;593317;290847;302470;kreisfreie Stadt
Hagen;5;189783;92810;96973;kreisfreie Stadt
Hamm;5;180849;89104;91745;kreisfreie Stadt
Herne;5;157368;77053;80315;kreisfreie Stadt
Ennepe-Ruhr-Kreis;5;325193;157717;167476;Landkreis
Hochsauerlandkreis;5;261647;130454;131193;Landkreis
Märkischer Kreis;5;410346;201533;208813;Kreis
Olpe;5;134439;67321;67118;Kreis
Siegen-Wittgenstein;5;277136;137437;139699;Kreis
Soest;5;306068;152175;153893;Kreis
Unna;5;398866;194899;203967;Kreis
Darmstadt;6;162243;82530;79713;kreisfreie Stadt
Frankfurt am Main;6;773068;380566;392502;kreisfreie Stadt
Offenbach am Main;6;134170;66650;67520;kreisfreie Stadt
Wiesbaden;6;283083;135153;147930;kreisfreie Stadt
Bergstraße;6;275205;135926;139279;Landkreis
Darmstadt-Dieburg;6;300658;148978;151680;Landkreis
Groß-Gerau;6;280308;140349;139959;Landkreis
Hochtaunuskreis;6;239488;115782;123706;Kreis
Main-Kinzig-Kreis;6;430838;212330;218508;Kreis
Main-Taunus-Kreis;6;242420;118745;123675;Kreis
Odenwaldkreis;6;97577;48156;49421;Kreis
Offenbach;6;362137;178293;183844;Landkreis
Rheingau-Taunus-Kreis;6;189614;92814;96800;Kreis
Wetteraukreis;6;317298;157070;160228;Kreis
Gießen;6;278664;136879;141785;Landkreis
Lahn-Dill-Kreis;6;257289;126692;130597;Kreis
Limburg-Weilburg;6;174884;86675;88209;Landkreis
Marburg-Biedenkopf;6;249684;122463;127221;Landkreis
Vogelsbergkreis;6;106833;53254;53579;Kreis
Kassel;6;204202;99986;104216;kreisfreie Stadt
Fulda;6;227456;113060;114396;Landkreis
Hersfeld-Rotenburg;6;121566;60827;60739;Landkreis
Schwalm-Eder-Kreis;6;182595;91370;91225;Kreis
Waldeck-Frankenberg;6;159154;79226;79928;Landkreis
Werra-Meißner-Kreis;6;100208;49400;50808;Kreis
Koblenz;7;115268;56506;58762;kreisfreie Stadt
Ahrweiler;7;128161;63413;64748;Landkreis
Altenkirchen (Westerwald);7;131467;64960;66507;Landkreis
Bad Kreuznach;7;161307;78730;82577;Landkreis
Birkenfeld;7;81760;40508;41252;Landkreis
Cochem-Zell;7;62666;31329;31337;Landkreis
Mayen-Koblenz;7;218210;107696;110514;Landkreis
Neuwied;7;187440;92274;95166;Landkreis
Rhein-Hunsrück-Kreis;7;105566;52384;53182;Kreis
Rhein-Lahn-Kreis;7;124381;61390;62991;Kreis
Westerwaldkreis;7;206282;102170;104112;Kreis
Trier;7;112195;55489;56706;kreisfreie Stadt
Bernkastel-Wittlich;7;115099;57453;57646;Landkreis
Eifelkreis Bitburg-Prüm;7;103642;52202;51440;Kreis
Vulkaneifel;7;61769;30928;30841;Landkreis
Trier-Saarburg;7;153860;76695;77165;Landkreis
Frankenthal;7;49051;23923;25128;kreisfreie Stadt
Kaiserslautern;7;101228;50948;50280;kreisfreie Stadt
Landau in der Pfalz;7;47610;22627;24983;kreisfreie Stadt
Ludwigshafen am Rhein;7;174265;87539;86726;kreisfreie Stadt
Mainz;7;220552;107358;113194;kreisfreie Stadt
Neustadt an der Weinstraße;7;53981;26306;27675;kreisfreie Stadt
Pirmasens;7;40682;19921;20761;kreisfreie Stadt
