Hochschulname;Anzahl_Studierende;Gruendungsjahr;Promotionsrecht;Habilitationsrecht;Straße;PLZ;Ort;ID_Typ;Bundesland
Fachhochschule Aachen;14086;1971;0;0;Bayernallee 11;52066;Aachen;101;5
Rheinisch-Westfälische Technische Hochschule Aachen;45527;1870;1;1;Templergraben 55;52062;Aachen;201;5
Hochschule Aalen - Technik und Wirtschaft;4559;1962;0;0;Beethovenstraße 1;73430;Aalen;101;8
Hochschule Albstadt-Sigmaringen;2666;1971;0;0;Anton-Günther-Straße 51;72488;Sigmaringen;101;8
Alanus Hochschule für Kunst und Gesellschaft;1564;1973;1;0;Villestraße 3;53347;Alfter;302;5
Ostbayerische Technische Hochschule Amberg-Weiden;4077;1994;1;0;Kaiser-Wilhelm-Ring 23;92224;Amberg;101;9
Hochschule Anhalt - Anhalt University of Applied Sciences;7067;1991;1;0;Bernburger Straße 55;6366;Köthen;101;15
Hochschule für angewandte Wissenschaften Ansbach;3898;1996;1;0;Residenzstraße 8;91522;Ansbach;101;9
Technische Hochschule Aschaffenburg;3559;1995;0;0;Würzburger Straße 45;63743;Aschaffenburg;101;9
Technische Hochschule Augsburg;7025;1710;0;0;An der Hochschule 1;86161;Augsburg;101;9
Universität Augsburg;19089;1970;1;1;Universitätsstraße 2;86159;Augsburg;201;9
EHIP - Europäische Hochschule für Innovation und Perspektive;;2022;0;0;Willy-Brandt-Platz 2;71522;Backnang;102;8
Hochschule für Polizei Baden-Württemberg;2337;;0;0;Sturmbühlstraße 250;78054;Villingen-Schwenningen;401;8
Hochschule für Rechtspflege Schwetzingen;716;1953;0;0;Karlsruher Straße 2;68723;Schwetzingen;401;8
Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg;2792;1999;0;0;Reuteallee 36;71634;Ludwigsburg;401;8
Hochschule für öffentliche Verwaltung Kehl;1421;1971;0;0;Kinzigallee 1;77694;Kehl;401;8
accadis Hochschule Bad Homburg;448;1980;0;0;SÜDCAMPUS Bad Homburg Am Weidenring 4;61352;Bad Homburg;102;6
Internationale Hochschule Liebenzell (IHL);305;2011;0;0;Heinrich-Coerper-Weg 11;75378;Bad Liebenzell;102;8
Otto-Friedrich-Universität Bamberg;10734;1647;1;1;Kapuzinerstr. 25;96047;Bamberg;201;9
Hochschule für den öffentlichen Dienst in Bayern;4907;;0;0;Wagmüllerstraße 20;80538;München;401;9
Hochschule für evangelische Kirchenmusik der Evangelisch-Lutherischen Kirche in Bayern;26;2000;0;0;Wilhelminenstraße 9;95444;Bayreuth;303;9
Universität Bayreuth;11924;1972;1;1;Universitätsstraße 30;95447;Bayreuth;201;9
Akkon-Hochschule;1406;2009;0;0;Colditzstraße 34-36;12099;Berlin;102;11
Alice Salomon Hochschule Berlin;4299;1971;0;0;Alice-Salomon-Platz 5;12627;Berlin;101;11
bbw Hochschule;822;2007;0;0;Wagner-Régeny-Straße 21;12489;Berlin;102;11
Bard College Berlin, A Liberal Arts University;312;1999;0;0;Platanenstrasse 24;13156;Berlin;202;11
Berliner Hochschule für Technik;12296;1971;0;0;Luxemburger Str. 10;13353;Berlin;101;11
Berlin International University of Applied Sciences;530;2014;0;0;Salzufer 6;10587;Berlin;102;11
Barenboim-Said Akademie;77;2016;0;0;Französische Straße 33D;10117;Berlin;302;11
BSP Business and Law School - Hochschule für Management und Recht;1750;2009;0;0;Calandrellistraße 1-9;12247;Berlin;102;11
CODE University of Applied Sciences;610;2017;0;0;Lohmühlenstr. 65;12435;Berlin;102;11
Digital Business University of Applied Sciences;282;2018;0;0;Oranienstr. 185;10999;Berlin;102;11
DHGS Deutsche Hochschule für Gesundheit und Sport;1865;2007;0;0;Franklinstr. 28-29;10587;Berlin;102;11
ESCP Europe Wirtschaftshochschule Berlin e.V.;1254;1819;1;0;Heubnerweg 8-10;14059;Berlin;202;11
ESMT European School of Management and Technology;820;2002;1;0;Schlossplatz 1;10178;Berlin;202;11
Evangelische Hochschule Berlin;1696;1904;0;0;Teltower Damm 118-122;14167;Berlin;103;11
Touro College Berlin;129;2003;0;0;Am Rupenhorn 5;14055;Berlin;102;11
Freie Universität Berlin;42090;1948;1;1;Kaiserswerther Str. 16-18;14195;Berlin;201;11
Hertie School;716;2004;1;0;Quartier 110, Friedrichstraße 180;10117;Berlin;202;11
